EUR1M Curncy - Date,EUR1M Curncy - Last Price,JPY1M Curncy - Date,JPY1M Curncy - Last Price,GBP1M Curncy - Date,GBP1M Curncy - Last Price,CAD1M Curncy -  Date,CAD1M Curncy - Last Price
2025-07-07,25.8,2025-07-07,-55.32,2025-07-07,2.38,2025-07-07,-21.17
2025-07-04,24.39,2025-07-04,-50.07,2025-07-04,1.96,2025-07-04,-21.17
2025-07-03,24.32,2025-07-03,-50.48,2025-07-03,1.86,2025-07-03,-21.06
2025-07-02,24.29,2025-07-02,-49.83,2025-07-02,1.78,2025-07-02,-22.44
2025-07-01,25.04,2025-07-01,-51.2,2025-07-01,1.93,2025-07-01,-23.18
2025-06-30,25.69,2025-06-30,-53.06,2025-06-30,2,2025-06-30,-23.1
2025-06-27,24.1,2025-06-27,-49.95,2025-06-27,1.82,2025-06-27,-21.05
2025-06-26,24.04,2025-06-26,-50.07,2025-06-26,1.64,2025-06-26,-20.79
2025-06-25,23.92,2025-06-25,-50.47,2025-06-25,1.66,2025-06-25,-21.56
2025-06-24,24.75,2025-06-24,-51.92,2025-06-24,1.86,2025-06-24,-20.27
2025-06-23,23.18,2025-06-23,-49.26,2025-06-23,1.79,2025-06-23,-20.24
2025-06-20,23.04,2025-06-20,-49.06,2025-06-20,1.75,2025-06-20,-20.16
2025-06-19,23.01,2025-06-19,-49.03,2025-06-19,1.74,2025-06-19,-20.8
2025-06-18,23.75,2025-06-18,-52.2,2025-06-18,1.93,2025-06-18,-20.82
2025-06-17,23.76,2025-06-17,-52.34,2025-06-17,2.08,2025-06-17,-20.15
2025-06-16,23.17,2025-06-16,-48.99,2025-06-16,2.04,2025-06-16,-20.1
2025-06-13,23.17,2025-06-13,-48.78,2025-06-13,2.04,2025-06-13,-19.94
2025-06-12,23.14,2025-06-12,-48.4,2025-06-12,2.03,2025-06-12,-20.54
2025-06-11,23.66,2025-06-11,-50.11,2025-06-11,2,2025-06-11,-21.24
2025-06-10,24.27,2025-06-10,-51.73,2025-06-10,2.1,2025-06-10,-19.97
2025-06-09,22.75,2025-06-09,-48.62,2025-06-09,1.95,2025-06-09,-20.11
2025-06-06,22.66,2025-06-06,-48.71,2025-06-06,1.96,2025-06-06,-20.06
2025-06-05,22.61,2025-06-05,-48.17,2025-06-05,1.95,2025-06-05,-20.71
2025-06-04,23.02,2025-06-04,-49.47,2025-06-04,1.99,2025-06-04,-21.33
2025-06-03,23.63,2025-06-03,-51.69,2025-06-03,1.98,2025-06-03,-22.52
2025-06-02,24.41,2025-06-02,-53.04,2025-06-02,2.01,2025-06-02,-20.7
2025-05-30,21.92,2025-05-30,-48.81,2025-05-30,1.89,2025-05-30,-20.64
2025-05-29,21.98,2025-05-29,-48.8,2025-05-29,1.88,2025-05-29,-21.45
2025-05-28,22.57,2025-05-28,-50.12,2025-05-28,1.78,2025-05-28,-22.23
2025-05-27,23.44,2025-05-27,-51.47,2025-05-27,2.02,2025-05-27,-22.81
2025-05-26,23.88,2025-05-26,-52.67,2025-05-26,2.08,2025-05-26,-21.3
2025-05-23,22.71,2025-05-23,-49.38,2025-05-23,2.1,2025-05-23,-21.26
2025-05-22,22.42,2025-05-22,-49.87,2025-05-22,1.95,2025-05-22,-21.34
2025-05-21,22.13,2025-05-21,-49.62,2025-05-21,1.88,2025-05-21,-21.95
2025-05-20,22.72,2025-05-20,-51.56,2025-05-20,1.97,2025-05-20,-22.8
2025-05-19,23.26,2025-05-19,-53.29,2025-05-19,1.99,2025-05-19,-21.95
2025-05-16,21.51,2025-05-16,-50.37,2025-05-16,1.8,2025-05-16,-21.98
2025-05-15,22.22,2025-05-15,-52,2025-05-15,1.88,2025-05-15,-21.67
2025-05-14,21.26,2025-05-14,-50.93,2025-05-14,1.84,2025-05-14,-22.55
2025-05-13,21.91,2025-05-13,-52.82,2025-05-13,1.89,2025-05-13,-23.2
2025-05-12,22.4,2025-05-12,-54.95,2025-05-12,1.96,2025-05-12,-21.81
2025-05-09,21.23,2025-05-09,-50.56,2025-05-09,1.88,2025-05-09,-21.7
2025-05-08,21.17,2025-05-08,-50.82,2025-05-08,1.9,2025-05-08,-21.32
2025-05-07,21.35,2025-05-07,-50.01,2025-05-07,2.02,2025-05-07,-21.88
2025-05-06,22.08,2025-05-06,-51.25,2025-05-06,2.15,2025-05-06,-22.46
2025-05-05,22.64,2025-05-05,-51.79,2025-05-05,2.05,2025-05-05,-21.09
2025-05-02,21.25,2025-05-02,-52.23,2025-05-02,2.08,2025-05-02,-21.05
2025-05-01,21.17,2025-05-01,-53.7,2025-05-01,1.83,2025-05-01,-21.08
2025-04-30,21.21,2025-04-30,-49.82,2025-04-30,1.46,2025-04-30,-21.83
2025-04-29,21.27,2025-04-29,-51.13,2025-04-29,1.27,2025-04-29,-20.54
2025-04-28,20.83,2025-04-28,-51.12,2025-04-28,1.03,2025-04-28,-20.51
2025-04-25,20.6,2025-04-25,-48.32,2025-04-25,0.85,2025-04-25,-20.48
2025-04-24,20.6,2025-04-24,-47.74,2025-04-24,0.83,2025-04-24,-21.9
2025-04-23,21.82,2025-04-23,-51.29,2025-04-23,0.69,2025-04-23,-22.83
2025-04-22,22.73,2025-04-22,-52.67,2025-04-22,0.7,2025-04-22,-21.07
2025-04-21,20.82,2025-04-21,-48.07,2025-04-21,0.45,2025-04-21,-21.03
2025-04-18,20.56,2025-04-18,-48.13,2025-04-18,0.42,2025-04-18,-20.93
2025-04-17,20.53,2025-04-17,-48.16,2025-04-17,0.45,2025-04-17,-20.82
2025-04-16,20.36,2025-04-16,-49.7,2025-04-16,0.27,2025-04-16,-22.81
2025-04-15,21.18,2025-04-15,-51.94,2025-04-15,-0.12,2025-04-15,-22.01
2025-04-14,19.83,2025-04-14,-49.11,2025-04-14,-0.23,2025-04-14,-21.83
2025-04-11,19.84,2025-04-11,-49.58,2025-04-11,-0.2,2025-04-11,-21.73
2025-04-10,19.4,2025-04-10,-49.58,2025-04-10,-0.38,2025-04-10,-22.49
2025-04-09,19.84,2025-04-09,-52.81,2025-04-09,0.02,2025-04-09,-23.23
2025-04-08,19.66,2025-04-08,-52.88,2025-04-08,-0.66,2025-04-08,-22.17
2025-04-07,18.59,2025-04-07,-51.4,2025-04-07,-0.64,2025-04-07,-21.72
2025-04-04,18.36,2025-04-04,-50.28,2025-04-04,-0.91,2025-04-04,-21.43
2025-04-03,18.14,2025-04-03,-49.59,2025-04-03,-0.94,2025-04-03,-21.7
2025-04-02,18.36,2025-04-02,-55.57,2025-04-02,-0.95,2025-04-02,-23.01
2025-04-01,18.78,2025-04-01,-57.36,2025-04-01,-1.04,2025-04-01,-21.35
2025-03-31,17.52,2025-03-31,-50.49,2025-03-31,-0.88,2025-03-31,-21.25
2025-03-28,18.19,2025-03-28,-50.13,2025-03-28,-0.94,2025-03-28,-21.17
2025-03-27,17.45,2025-03-27,-50.88,2025-03-27,-1.01,2025-03-27,-21.86
2025-03-26,17.8,2025-03-26,-52.55,2025-03-26,-1,2025-03-26,-22.31
2025-03-25,18.46,2025-03-25,-53.99,2025-03-25,-1.04,2025-03-25,-22.83
2025-03-24,19.02,2025-03-24,-56.01,2025-03-24,-1.15,2025-03-24,-21.44
2025-03-21,17.75,2025-03-21,-52.61,2025-03-21,-1.14,2025-03-21,-21.35
2025-03-20,17.74,2025-03-20,-52.85,2025-03-20,-1.12,2025-03-20,-21.2
2025-03-19,18.36,2025-03-19,-52.82,2025-03-19,-1.03,2025-03-19,-21.91
2025-03-18,18.99,2025-03-18,-53.07,2025-03-18,-0.98,2025-03-18,-22.7
2025-03-17,19.46,2025-03-17,-56.16,2025-03-17,-1.02,2025-03-17,-22.92
2025-03-14,19.98,2025-03-14,-52.92,2025-03-14,-1.08,2025-03-14,-20.74
2025-03-13,17.74,2025-03-13,-52.43,2025-03-13,-0.84,2025-03-13,-20.81
2025-03-12,17.76,2025-03-12,-52.55,2025-03-12,-0.83,2025-03-12,-21.36
2025-03-11,18.4,2025-03-11,-54.32,2025-03-11,-0.95,2025-03-11,-22.02
2025-03-10,18.82,2025-03-10,-55.59,2025-03-10,-1.02,2025-03-10,-20.6
2025-03-07,17.56,2025-03-07,-52.54,2025-03-07,-0.94,2025-03-07,-20.26
2025-03-06,17.35,2025-03-06,-52.43,2025-03-06,-0.99,2025-03-06,-19.78
2025-03-05,17.14,2025-03-05,-52.74,2025-03-05,-0.87,2025-03-05,-20.67
2025-03-04,17.33,2025-03-04,-54.98,2025-03-04,-0.86,2025-03-04,-21.3
2025-03-03,17.58,2025-03-03,-56.35,2025-03-03,-0.99,2025-03-03,-20.23
2025-02-28,16.32,2025-02-28,-53.3,2025-02-28,-0.86,2025-02-28,-19.65
2025-02-27,16.33,2025-02-27,-52.88,2025-02-27,-0.93,2025-02-27,-19.4
2025-02-26,16.28,2025-02-26,-52.15,2025-02-26,-1.13,2025-02-26,-17.21
2025-02-25,14.51,2025-02-25,-47.18,2025-02-25,-1.07,2025-02-25,-17.28
2025-02-24,14.39,2025-02-24,-47.35,2025-02-24,-1.06,2025-02-24,-16.95
2025-02-21,14.3,2025-02-21,-47.17,2025-02-21,-1.01,2025-02-21,-16.69
2025-02-20,14.3,2025-02-20,-47.41,2025-02-20,-0.97,2025-02-20,-16.51
2025-02-19,14.02,2025-02-19,-47.96,2025-02-19,-0.87,2025-02-19,-16.65
2025-02-18,13.98,2025-02-18,-49.74,2025-02-18,-0.96,2025-02-18,-16.5
2025-02-17,13.92,2025-02-17,-47.89,2025-02-17,-0.99,2025-02-17,-16.39
2025-02-14,13.85,2025-02-14,-48.15,2025-02-14,-0.94,2025-02-14,-16.4
2025-02-13,13.84,2025-02-13,-48.4,2025-02-13,-0.92,2025-02-13,-16.19
2025-02-12,13.48,2025-02-12,-49.13,2025-02-12,-0.88,2025-02-12,-16.6
2025-02-11,13.39,2025-02-11,-48.69,2025-02-11,-0.88,2025-02-11,-16.53
2025-02-10,13.26,2025-02-10,-48.62,2025-02-10,-0.83,2025-02-10,-16.26
2025-02-07,13.29,2025-02-07,-48.34,2025-02-07,-0.86,2025-02-07,-16.15
2025-02-06,13.31,2025-02-06,-48.02,2025-02-06,-0.88,2025-02-06,-16.14
2025-02-05,13.31,2025-02-05,-48.54,2025-02-05,-0.88,2025-02-05,-16.31
2025-02-04,13.28,2025-02-04,-49.05,2025-02-04,-0.85,2025-02-04,-16.38
2025-02-03,13.26,2025-02-03,-49.81,2025-02-03,-0.93,2025-02-03,-16.94
2025-01-31,13.18,2025-01-31,-49.72,2025-01-31,-1.05,2025-01-31,-16.76
2025-01-30,13.17,2025-01-30,-49.69,2025-01-30,-1.25,2025-01-30,-16.56
2025-01-29,12.96,2025-01-29,-49.61,2025-01-29,-1.56,2025-01-29,-17.12
2025-01-28,13.39,2025-01-28,-52.21,2025-01-28,-1.64,2025-01-28,-16.93
2025-01-27,13.96,2025-01-27,-53.79,2025-01-27,-1.73,2025-01-27,-17.45
2025-01-24,14.35,2025-01-24,-55.35,2025-01-24,-1.9,2025-01-24,-17.4
2025-01-23,14.17,2025-01-23,-55.27,2025-01-23,-1.96,2025-01-23,-17.15
2025-01-22,13.98,2025-01-22,-57.52,2025-01-22,-2.27,2025-01-22,-17.58
2025-01-21,14.37,2025-01-21,-59.06,2025-01-21,-2.42,2025-01-21,-17.86
2025-01-20,14.58,2025-01-20,-60.56,2025-01-20,-2.6,2025-01-20,-16.55
2025-01-17,13.41,2025-01-17,-55.69,2025-01-17,-2.54,2025-01-17,-16.83
2025-01-16,13.44,2025-01-16,-55.44,2025-01-16,-2.53,2025-01-16,-16.91
2025-01-15,13.71,2025-01-15,-58.43,2025-01-15,-2.74,2025-01-15,-17.22
2025-01-14,14.15,2025-01-14,-60.93,2025-01-14,-3.17,2025-01-14,-17.47
2025-01-13,14.45,2025-01-13,-62.6,2025-01-13,-3.19,2025-01-13,-15.9
2025-01-10,13.05,2025-01-10,-62.8,2025-01-10,-3.06,2025-01-10,-16.1
2025-01-09,13,2025-01-09,-57.75,2025-01-09,-3.13,2025-01-09,-15.99
2025-01-08,12.73,2025-01-08,-57.74,2025-01-08,-3.45,2025-01-08,-16.12
2025-01-07,13.1,2025-01-07,-59.52,2025-01-07,-3.66,2025-01-07,-16.46
2025-01-06,13.57,2025-01-06,-60.95,2025-01-06,-3.59,2025-01-06,-15.32
2025-01-03,12.54,2025-01-03,-57.42,2025-01-03,-3.43,2025-01-03,-15.64
2025-01-02,12.49,2025-01-02,-57.49,2025-01-02,-3.4,2025-01-02,-15.78
2025-01-01,12.74,2025-01-01,-57.63,2025-01-01,-3.3,2025-01-01,-16.55
2024-12-31,12.73,2024-12-31,-57.69,2024-12-31,-3.33,2024-12-31,-16.55
2024-12-30,13.23,2024-12-30,-57.61,2024-12-30,-3.44,2024-12-30,-16.35
2024-12-27,14.24,2024-12-27,-57.71,2024-12-27,-3.29,2024-12-27,-16.92
2024-12-26,14.4,2024-12-26,-63.39,2024-12-26,-3.37,2024-12-26,-17.55
2024-12-25,14.37,2024-12-25,-62.31,2024-12-25,-3.43,2024-12-25,-17.76
2024-12-24,14.37,2024-12-24,-63.35,2024-12-24,-3.39,2024-12-24,-17.14
2024-12-23,14.24,2024-12-23,-62.99,2024-12-23,-3.49,2024-12-23,-17.1
2024-12-20,14.16,2024-12-20,-63.85,2024-12-20,-3.31,2024-12-20,-17.03
2024-12-19,14.01,2024-12-19,-64.35,2024-12-19,-2.7,2024-12-19,-17.49
2024-12-18,14.44,2024-12-18,-64.76,2024-12-18,-2.27,2024-12-18,-17.82
2024-12-17,15.1,2024-12-17,-66.47,2024-12-17,-2.29,2024-12-17,-19
2024-12-16,15.46,2024-12-16,-68.62,2024-12-16,-2.2,2024-12-16,-18.28
2024-12-13,14.08,2024-12-13,-62.83,2024-12-13,-1.55,2024-12-13,-18.47
2024-12-12,14.04,2024-12-12,-62.43,2024-12-12,-1.58,2024-12-12,-18.66
2024-12-11,14.1,2024-12-11,-64.78,2024-12-11,-1.17,2024-12-11,-19.74
2024-12-10,14.87,2024-12-10,-67.27,2024-12-10,-1.08,2024-12-10,-20.26
2024-12-09,15.4,2024-12-09,-68.45,2024-12-09,-1.28,2024-12-09,-18.78
2024-12-06,14.36,2024-12-06,-62.1,2024-12-06,-1.22,2024-12-06,-18.24
2024-12-05,14.38,2024-12-05,-61.45,2024-12-05,-0.87,2024-12-05,-17.52
2024-12-04,14.24,2024-12-04,-62.53,2024-12-04,-0.56,2024-12-04,-17.85
2024-12-03,14.7,2024-12-03,-63.47,2024-12-03,-0.56,2024-12-03,-18.38
2024-12-02,15.27,2024-12-02,-66.63,2024-12-02,-0.42,2024-12-02,-17.19
2024-11-29,14.6,2024-11-29,-69.45,2024-11-29,-0.2,2024-11-29,-17.21
2024-11-28,14.55,2024-11-28,-72.85,2024-11-28,-0.41,2024-11-28,-14.65
2024-11-27,13.95,2024-11-27,-57.38,2024-11-27,-0.91,2024-11-27,-14.65
2024-11-26,14.02,2024-11-26,-58.26,2024-11-26,-1.02,2024-11-26,-13.66
2024-11-25,13.05,2024-11-25,-57.2,2024-11-25,-0.89,2024-11-25,-14.02
2024-11-22,13.51,2024-11-22,-57.65,2024-11-22,-0.89,2024-11-22,-14.45
2024-11-21,13.77,2024-11-21,-59.54,2024-11-21,-0.94,2024-11-21,-13.61
2024-11-20,13.19,2024-11-20,-60.1,2024-11-20,-0.82,2024-11-20,-14.15
2024-11-19,13.68,2024-11-19,-61.93,2024-11-19,-0.82,2024-11-19,-13.17
2024-11-18,12.61,2024-11-18,-58.38,2024-11-18,-0.71,2024-11-18,-13.16
2024-11-15,12.49,2024-11-15,-58.33,2024-11-15,-0.57,2024-11-15,-12.98
2024-11-14,12.47,2024-11-14,-59.06,2024-11-14,-0.57,2024-11-14,-13.03
2024-11-13,12.98,2024-11-13,-60.79,2024-11-13,-0.56,2024-11-13,-13.3
2024-11-12,13.46,2024-11-12,-62.43,2024-11-12,-0.7,2024-11-12,-12.01
2024-11-11,12.67,2024-11-11,-58.29,2024-11-11,-0.75,2024-11-11,-11.74
2024-11-08,12.73,2024-11-08,-57.96,2024-11-08,-0.73,2024-11-08,-11.72
2024-11-07,12.81,2024-11-07,-58.07,2024-11-07,-0.69,2024-11-07,-12.1
2024-11-06,13.15,2024-11-06,-60.71,2024-11-06,-0.8,2024-11-06,-12.59
2024-11-05,14.02,2024-11-05,-61.7,2024-11-05,-0.6,2024-11-05,-12.09
2024-11-04,13.11,2024-11-04,-58.3,2024-11-04,-0.58,2024-11-04,-12.4
2024-11-01,13.13,2024-11-01,-58.72,2024-11-01,-0.62,2024-11-01,-12.52
2024-10-31,13.28,2024-10-31,-58.57,2024-10-31,-0.56,2024-10-31,-13.15
2024-10-30,13.94,2024-10-30,-61.4,2024-10-30,-0.77,2024-10-30,-12.37
2024-10-29,13.22,2024-10-29,-57.42,2024-10-29,-0.65,2024-10-29,-12.79
2024-10-28,13.74,2024-10-28,-59.63,2024-10-28,-0.67,2024-10-28,-13.46
2024-10-25,14.22,2024-10-25,-61.38,2024-10-25,-0.62,2024-10-25,-14.09
2024-10-24,14.68,2024-10-24,-63.36,2024-10-24,-0.55,2024-10-24,-13.92
2024-10-23,14.39,2024-10-23,-62.07,2024-10-23,-0.49,2024-10-23,-14.23
2024-10-22,14.89,2024-10-22,-63.21,2024-10-22,-0.54,2024-10-22,-13.83
2024-10-21,15.46,2024-10-21,-65.19,2024-10-21,-0.38,2024-10-21,-13.18
2024-10-18,14.55,2024-10-18,-60.96,2024-10-18,-0.38,2024-10-18,-12.98
2024-10-17,14.52,2024-10-17,-61.44,2024-10-17,-0.32,2024-10-17,-12.72
2024-10-16,14.48,2024-10-16,-61.49,2024-10-16,-0.35,2024-10-16,-12.73
2024-10-15,14.92,2024-10-15,-63.35,2024-10-15,-0.53,2024-10-15,-12.79
2024-10-14,15.44,2024-10-14,-65.86,2024-10-14,-0.39,2024-10-14,-11.64
2024-10-11,14.57,2024-10-11,-65.57,2024-10-11,-0.42,2024-10-11,-11.63
2024-10-10,14.58,2024-10-10,-61.47,2024-10-10,-0.36,2024-10-10,-11.92
2024-10-09,14.97,2024-10-09,-63.6,2024-10-09,-0.34,2024-10-09,-12
2024-10-08,15.43,2024-10-08,-65.01,2024-10-08,-0.35,2024-10-08,-11.99
2024-10-07,15.96,2024-10-07,-66.93,2024-10-07,-0.34,2024-10-07,-10.74
2024-10-04,14.63,2024-10-04,-61.82,2024-10-04,-0.31,2024-10-04,-10.52
2024-10-03,14.71,2024-10-03,-61.36,2024-10-03,-0.32,2024-10-03,-10.63
2024-10-02,14.62,2024-10-02,-63.24,2024-10-02,-0.12,2024-10-02,-10.97
2024-10-01,15.01,2024-10-01,-64.1,2024-10-01,-0.22,2024-10-01,-11.29
2024-09-30,15.33,2024-09-30,-66.31,2024-09-30,-0.25,2024-09-30,-10.06
2024-09-27,14.16,2024-09-27,-59.79,2024-09-27,-0.47,2024-09-27,-9.99
2024-09-26,14.01,2024-09-26,-61.33,2024-09-26,-0.52,2024-09-26,-10.72
2024-09-25,13.91,2024-09-25,-61.87,2024-09-25,-0.49,2024-09-25,-9.84
2024-09-24,14.51,2024-09-24,-63.11,2024-09-24,-0.47,2024-09-24,-8.78
2024-09-23,13.41,2024-09-23,-59.05,2024-09-23,-0.46,2024-09-23,-8.79
2024-09-20,13.39,2024-09-20,-59.14,2024-09-20,-0.43,2024-09-20,-8.87
2024-09-19,13.43,2024-09-19,-58.58,2024-09-19,-0.39,2024-09-19,-9.34
2024-09-18,14.03,2024-09-18,-60.5,2024-09-18,0.21,2024-09-18,-9.78
2024-09-17,15.41,2024-09-17,-63.89,2024-09-17,1.57,2024-09-17,-10.43
2024-09-16,14.48,2024-09-16,-59.45,2024-09-16,1.4,2024-09-16,-10.47
2024-09-13,14.88,2024-09-13,-60.09,2024-09-13,2.01,2024-09-13,-10.91
2024-09-12,15,2024-09-12,-60.58,2024-09-12,2.04,2024-09-12,-12.14
2024-09-11,16.47,2024-09-11,-65.82,2024-09-11,3.03,2024-09-11,-12.91
2024-09-10,16.67,2024-09-10,-67.53,2024-09-10,2.83,2024-09-10,-11.87
2024-09-09,15.22,2024-09-09,-62.07,2024-09-09,2.87,2024-09-09,-11.98
2024-09-06,15.26,2024-09-06,-61.79,2024-09-06,2.91,2024-09-06,-12.09
2024-09-05,15.15,2024-09-05,-61.94,2024-09-05,2.94,2024-09-05,-12.61
2024-09-04,15.54,2024-09-04,-64.2,2024-09-04,3.27,2024-09-04,-13.2
2024-09-03,16.12,2024-09-03,-66.97,2024-09-03,3.51,2024-09-03,-12.88
2024-09-02,15.17,2024-09-02,-63.82,2024-09-02,3.59,2024-09-02,-12.79
2024-08-30,15.15,2024-08-30,-63.55,2024-08-30,3.63,2024-08-30,-12.78
2024-08-29,15.24,2024-08-29,-63.13,2024-08-29,3.6,2024-08-29,-12.14
2024-08-28,15.84,2024-08-28,-64.24,2024-08-28,3.84,2024-08-28,-12.42
2024-08-27,16.46,2024-08-27,-66.47,2024-08-27,4.09,2024-08-27,-12.74
2024-08-26,17,2024-08-26,-68.9,2024-08-26,4.33,2024-08-26,-13.2
2024-08-23,16.03,2024-08-23,-64.94,2024-08-23,4.3,2024-08-23,-13.25
2024-08-22,16,2024-08-22,-66,2024-08-22,4.25,2024-08-22,-13.36
2024-08-21,16.08,2024-08-21,-68.07,2024-08-21,4.62,2024-08-21,-13.81
2024-08-20,16.55,2024-08-20,-70.24,2024-08-20,4.7,2024-08-20,-14.06
2024-08-19,17.03,2024-08-19,-73.1,2024-08-19,4.78,2024-08-19,-13.27
2024-08-16,15.96,2024-08-16,-67.96,2024-08-16,4.62,2024-08-16,-13.23
2024-08-15,15.91,2024-08-15,-68.83,2024-08-15,4.71,2024-08-15,-12.92
2024-08-14,15.91,2024-08-14,-70.36,2024-08-14,4.86,2024-08-14,-13.51
2024-08-13,16.4,2024-08-13,-72.16,2024-08-13,4.97,2024-08-13,-13.81
2024-08-12,16.72,2024-08-12,-74.15,2024-08-12,5.05,2024-08-12,-12.7
2024-08-09,15.72,2024-08-09,-73.88,2024-08-09,4.72,2024-08-09,-12.63
2024-08-08,15.69,2024-08-08,-67.73,2024-08-08,4.69,2024-08-08,-12.41
2024-08-07,15.63,2024-08-07,-67.1,2024-08-07,4.63,2024-08-07,-12.56
2024-08-06,16.24,2024-08-06,-68.43,2024-08-06,4.78,2024-08-06,-12.94
2024-08-05,16.83,2024-08-05,-70.64,2024-08-05,5.04,2024-08-05,-12.03
2024-08-02,15.77,2024-08-02,-67.8,2024-08-02,4.86,2024-08-02,-12.09
