Date,USDJPY,EURUSD,GBPUSD,USDCNH,EURJPY,AUDUSD,EURGBP,EURCHF,USDCAD,AUDCAD,CADJPY,EURCAD,CADCHF,GBPJPY,AUDJPY,CHFJPY,AUDCHF,EURAUD,GBPAUD
09/03/2025,-1.0475,0.1725,-0.75,-0.4925,-0.7825,-0.6025,0.665,-0.415,0.03,-0.5325,-0.95,0.195,-1.65,-1.3,-1.525,-0.4025,-1.0975,0.525,-0.225
09/02/2025,-1.03,0.1825,-0.7825,-0.485,-0.7575,-0.635,0.64,-0.4225,0.0375,-0.545,-0.98,0.23,-1.54,-1.3325,-1.5525,-0.3525,-1.085,0.56,-0.11
09/01/2025,-1.17,0.2925,-0.4475,-0.565,-0.8775,-0.45,0.46,-0.4175,-0.045,-0.4425,-1.06,0.26,-1.51,-1.2675,-1.565,-0.4625,-0.985,0.475,-0.065
,,,,,,,,,,,,,,,,,,,
08/29/2025,-1.1675,0.2275,-0.4775,-0.5325,-0.9,-0.4675,0.46,-0.395,-0.0375,-0.4275,-1.03,0.225,-1.59,-1.305,-1.5525,-0.455,-0.96,0.4725,-0.055
08/28/2025,-1.2075,0.1975,-0.455,-0.5,-0.9625,-0.585,0.47,-0.3575,-0.08,-0.58,-0.99,0.17,-1.53,-1.315,-1.665,-0.4775,-1.0525,0.55,0.02
08/27/2025,-1.1025,0.1325,-0.4625,-0.43,-0.8875,-0.6375,0.48,-0.3375,-0.0125,-0.5975,-0.96,0.1125,-1.58,-1.2225,-1.625,-0.41,-1.09,0.56,0.0325
08/26/2025,-1.105,0.1725,-0.4675,-0.4075,-0.8975,-0.62,0.525,-0.2925,0.02,-0.57,-1.01,0.155,-1.69,-1.23,-1.6025,-0.3725,-1.155,0.53,0.01
08/25/2025,-1.11,0.175,-0.4475,-0.3975,-0.765,-0.585,0.5475,-0.2225,0.0375,-0.54,-1.02,0.22,-1.76,-1.2175,-1.6475,-0.3775,-1.14,0.585,0.045
,,,,,,,,,,,,,,,,,,,
08/22/2025,-1.0975,0.3925,-0.4175,-0.26,-0.8025,-0.665,0.56,-0.1475,0.0225,-0.5825,-1.04,0.3125,-1.74,-1.255,-1.6575,-0.375,-1.245,0.6875,0.055
08/21/2025,-1.0575,0.24,-0.3925,-0.265,-0.77,-0.7575,0.575,-0.15,0.1575,-0.59,-1.04,0.335,-1.79,-1.155,-1.6725,-0.35,-1.3225,0.7025,0.12
08/20/2025,-1.0225,0.265,-0.31,-0.2575,-0.7875,-0.735,0.57,-0.1475,0.0975,-0.635,-1.01,0.345,-1.82,-1.06,-1.645,-0.3525,-1.3525,0.725,0.11
08/19/2025,-0.9025,0.3175,-0.25,-0.255,-0.6225,-0.5175,0.52,-0.0325,0.03,-0.425,-0.86,0.33,-1.66,-0.9225,-1.3625,-0.23,-1.0725,0.57,0.02
08/18/2025,-0.975,0.335,-0.1225,-0.2375,-0.6925,-0.535,0.5275,-0.0775,-0.065,-0.485,-0.86,0.275,-1.63,-0.9775,-1.435,-0.27,-1.155,0.58,0.065
,,,,,,,,,,,,,,,,,,,
08/15/2025,-1.0925,0.3475,-0.115,-0.2375,-0.75,-0.545,0.53,-0.08,-0.08,-0.4775,-0.85,0.31,-1.6,-1.0675,-1.535,-0.3675,-1.1175,0.6125,0.065
08/14/2025,-1.145,0.4375,-0.0875,-0.2675,-0.8075,-0.52,0.535,-0.1,-0.095,-0.5,-0.89,0.33,-1.55,-1.1025,-1.575,-0.405,-1.13,0.6175,0.0775
08/13/2025,-1.05,0.5225,-0.085,-0.2325,-0.7325,-0.415,0.5325,-0.06,-0.1175,-0.395,-0.84,0.355,-1.53,-1.02,-1.455,-0.39,-1,0.565,0.005
08/12/2025,-0.965,0.5225,-0.145,-0.225,-0.5625,-0.45,0.565,-0.08,-0.085,-0.4325,-0.77,0.37,-1.53,-0.96,-1.3625,-0.26,-1.055,0.59,-0.05
08/11/2025,-1.0625,0.5025,-0.16,-0.215,-0.6525,-0.5,0.61,-0.1,-0.0975,-0.47,-0.88,0.4,-1.59,-1.075,-1.48,-0.37,-1.0675,0.615,0.0075
,,,,,,,,,,,,,,,,,,,
08/08/2025,-1.1125,0.5775,-0.165,-0.23,-0.6225,-0.4975,0.615,-0.105,-0.1225,-0.47,-0.91,0.415,-1.73,-1.0925,-1.49,-0.365,-1.08,0.63,0.0125
08/07/2025,-1.2475,0.62,-0.205,-0.2225,-0.7275,-0.495,0.62,-0.1075,-0.135,-0.4575,-1,0.44,-1.62,-1.245,-1.62,-0.4825,-1.1075,0.645,-0.025
08/06/2025,-1.155,0.6325,-0.24,-0.2425,-0.7175,-0.5725,0.65,-0.18,-0.1125,-0.505,-0.95,0.48,-1.65,-1.235,-1.63,-0.4275,-1.07,0.61,-0.0175
08/05/2025,-1.0775,0.51,-0.3125,-0.26,-0.7375,-0.7425,0.6425,-0.42,-0.0725,-0.6325,-0.86,0.45,-1.83,-1.2425,-1.64,-0.335,-1.2325,0.64,-0.005
08/04/2025,-1.2125,0.53,-0.3425,-0.2425,-0.815,-0.8,0.63,-0.4425,-0.03,-0.645,-1.08,0.515,-1.84,-1.2725,-1.9175,-0.53,-1.33,0.7,0.0175
,,,,,,,,,,,,,,,,,,,
08/01/2025,-1.165,0.505,-0.3775,-0.19,-0.955,-0.8075,0.645,-0.4175,0.0125,-0.655,-1.12,0.485,-1.61,-1.1575,-1.97,-0.5975,-1.235,0.7,0.025
07/31/2025,-0.595,-0.0075,-0.5125,-0.2675,-0.5225,-0.785,0.545,-0.42,0.0775,-0.6625,-0.45,0.2,-1.36,-0.9,-1.2675,0.04,-1.1825,0.62,0.005
07/30/2025,-0.885,-0.0775,-0.515,-0.2275,-0.7525,-0.7725,0.555,-0.4525,-0.0025,-0.665,-0.64,0.11,-1.26,-1.16,-1.49,-0.1775,-1.17,0.54,-0.035
07/29/2025,-0.8725,-0.0025,-0.49,-0.38,-0.7225,-0.63,0.57,-0.515,-0.0075,-0.595,-0.65,0.1325,-1.26,-1.1075,-1.37,-0.165,-1.115,0.495,-0.045
07/28/2025,-0.9225,0.1175,-0.385,-0.3875,-0.8175,-0.645,0.67,-0.5575,-0.0525,-0.6125,-0.73,0.1675,-1.63,-1.12,-1.45,-0.2,-1.1575,0.575,-0.01
,,,,,,,,,,,,,,,,,,,
07/25/2025,-1.005,0.395,-0.29,-0.4525,-0.7525,-0.525,0.69,-0.615,-0.075,-0.49,-0.81,0.35,-1.77,-1.135,-1.39,-0.2175,-1.11,0.655,-0.08
07/24/2025,-1.0975,0.415,-0.295,-0.49,-0.7875,-0.56,0.65,-0.665,-0.16,-0.53,-0.8,0.33,-1.67,-1.14,-1.4425,-0.3,-1.17,0.665,-0.08
07/23/2025,-1.08,0.485,-0.275,-0.435,-0.8475,-0.555,0.645,-0.76,-0.22,-0.56,-0.79,0.415,-1.69,-1.1775,-1.435,-0.2425,-1.215,0.665,-0.03
07/22/2025,-1.2225,0.515,-0.3475,-0.3925,-0.8575,-0.6675,0.63,-0.79,-0.185,-0.63,-0.95,0.42,-1.74,-1.3025,-1.665,-0.415,-1.305,0.775,-0.02
07/21/2025,-1.035,0.395,-0.585,-0.375,-0.815,-0.7175,0.6925,-0.79,-0.125,-0.67,-0.85,0.375,-1.74,-1.305,-1.645,-0.4275,-1.33,0.75,-0.11
,,,,,,,,,,,,,,,,,,,
07/18/2025,-0.5825,0.2925,-0.625,-0.3525,-0.3225,-0.8375,0.675,-0.775,-0.0625,-0.7275,-0.42,0.3575,-1.5,-0.9025,-1.2025,-0.0125,-1.31,0.775,-0.05
07/17/2025,-0.735,0.07,-0.665,-0.34,-0.595,-0.865,0.68,-0.805,-0.0125,-0.7425,-0.58,0.2375,-1.5,-1.08,-1.4175,-0.1575,-1.3375,0.74,-0.065
07/16/2025,-0.8625,0.1875,-0.7275,-0.3675,-0.57,-0.835,0.7275,-0.825,-0.095,-0.73,-0.78,0.335,-1.53,-1.14,-1.4975,-0.2375,-1.3525,0.73,-0.125
07/15/2025,-0.7525,-0.13,-0.7425,-0.4125,-0.63,-0.845,0.745,-0.8475,-0.0075,-0.7575,-0.6,0.085,-1.4,-1.1775,-1.4375,-0.08,-1.325,0.63,-0.1275
07/14/2025,-1.01,-0.0575,-0.7,-0.4775,-0.835,-0.8,0.6875,-0.855,-0.025,-0.71,-0.86,0.1275,-1.59,-1.35,-1.615,-0.15,-1.32,0.64,-0.1525
,,,,,,,,,,,,,,,,,,,
07/11/2025,-0.95,-0.045,-0.7025,-0.475,-0.81,-0.7275,0.6875,-0.7925,-0.04,-0.6625,-0.83,0.12,-1.5,-1.4075,-1.4825,-0.255,-1.23,0.58,-0.125
07/10/2025,-1.02,-0.035,-0.6175,-0.28,-0.8425,-0.69,0.63,-0.77,-0.1,-0.64,-0.91,0.06,-1.37,-1.4625,-1.58,-0.4,-1.175,0.58,-0.095
07/09/2025,-0.935,-0.03,-0.625,-0.2825,-0.755,-0.72,0.64,-0.7675,-0.11,-0.675,-0.93,0.055,-1.38,-1.375,-1.5625,-0.2975,-1.2375,0.6,-0.0875
07/08/2025,-0.845,-0.0025,-0.5875,-0.275,-0.6325,-0.645,0.65,-0.7875,-0.1075,-0.6,-0.75,0.115,-1.5,-1.35,-1.3425,-0.16,-1.2275,0.5625,-0.1125
07/07/2025,-0.9475,0.045,-0.5075,-0.2775,-0.7375,-0.8,0.66,-0.81,-0.1075,-0.735,-0.92,0.125,-1.62,-1.4,-1.5175,-0.1175,-1.33,0.74,-0.0375
,,,,,,,,,,,,,,,,,,,
07/04/2025,-1.3675,0.16,-0.4575,-0.2975,-0.96,-0.6,0.7225,-0.7875,-0.1775,-0.57,-1.14,0.2,-1.78,-1.6875,-1.7225,-0.4125,-1.2425,0.595,-0.12
07/03/2025,-1.4075,0.2075,-0.49,-0.2975,-0.9425,-0.525,0.65,-0.8275,-0.175,-0.5075,-1.16,0.2,-1.74,-1.7725,-1.6775,-0.4125,-1.2425,0.55,-0.19
07/02/2025,-1.5825,0.2925,-0.615,-0.31,-1.13,-0.525,0.9,-0.8175,-0.1575,-0.4925,-1.42,0.3075,-1.91,-1.7775,-1.8725,-0.5775,-1.2575,0.58,-0.2225
07/01/2025,-1.605,0.4625,0.065,-0.44,-1.08,-0.5175,0.4,-0.8225,-0.13,-0.4975,-1.44,0.385,-2.15,-1.3125,-1.8875,-0.6075,-1.3125,0.63,0.3575
06/30/2025,-1.4975,0.385,0.0175,-0.545,-1.0375,-0.6525,0.4,-0.7775,-0.0925,-0.59,-1.34,0.365,-2.08,-1.225,-1.82,-0.5475,-1.3775,0.685,0.3775
,,,,,,,,,,,,,,,,,,,
06/27/2025,-1.4525,0.3725,0.115,-0.5275,-1.0175,-0.6775,0.4075,-0.7775,-0.025,-0.63,-1.33,0.35,-1.99,-1.1925,-1.8825,-0.51,-1.41,0.69,0.4075
06/26/2025,-1.4375,0.58,0.0975,-0.55,-1.0075,-0.6325,0.4575,-0.7725,-0.225,-0.61,-1.26,0.355,-2.04,-1.265,-2.0175,-0.5225,-1.3775,0.6975,0.4125
06/25/2025,-1.2675,0.145,-0.1925,-0.455,-0.98,-0.76,0.4425,-0.78,-0.185,-0.7125,-0.99,0.17,-1.78,-1.16,-1.8125,-0.3475,-1.4225,0.6275,0.3725
06/24/2025,-1.3525,0.085,-0.2375,-0.4,-1.15,-0.835,0.4425,-0.79,-0.11,-0.78,-1.15,0.12,-1.75,-1.31,-2.0525,-0.4925,-1.4875,0.67,0.39
06/23/2025,-1.2125,-0.355,-0.58,-0.36,-1.365,-1.05,0.4875,-0.87,-0.005,-0.915,-1.25,-0.055,-1.54,-1.35,-2.1875,-0.3325,-1.565,0.785,0.4275
,,,,,,,,,,,,,,,,,,,
06/20/2025,-1.425,-0.385,-0.48,-0.335,-1.485,-1.175,0.55,-0.88,-0.0175,-0.975,-1.32,-0.125,-1.3,-1.545,-2.25,-0.5525,-1.625,0.775,0.4
06/19/2025,-1.48,-0.42,-0.6,-0.3075,-1.5025,-1.23,0.555,-0.88,0.045,-1.0075,-1.41,-0.13,-1.41,-1.745,-2.4,-0.58,-1.69,0.7725,0.415
06/18/2025,-1.5625,-0.245,-0.53,-0.29,-1.4825,-1.1125,0.55,-0.8125,-0.0175,-0.99,-1.42,-0.0925,-1.54,-1.76,-2.3725,-0.6425,-1.61,0.715,0.355
06/17/2025,-1.5375,-0.0275,-0.2775,-0.335,-1.115,-0.9825,0.55,-0.8425,-0.0825,-0.895,-1.16,-0.01,-1.75,-1.5825,-2.22,-0.5425,-1.4775,0.76,0.4225
06/16/2025,-1.5975,0.335,-0.12,-0.3425,-1.0225,-0.6975,0.5525,-0.755,-0.285,-0.675,-1.21,0.18,-2.01,-1.61,-2.1075,-0.56,-1.4975,0.76,0.4275
,,,,,,,,,,,,,,,,,,,
06/13/2025,-1.695,0.3325,-0.1675,-0.325,-1.125,-0.98,0.5675,-0.76,-0.1925,-0.84,-1.23,0.245,-2.02,-1.5675,-2.385,-0.6675,-1.58,0.955,0.475
06/12/2025,-1.6175,0.6875,0.02,-0.3775,-0.87,-0.4275,0.59,-0.655,-0.375,-0.485,-1,0.415,-1.57,-1.315,-1.9725,-0.5825,-1.2375,0.715,0.3825
06/11/2025,-1.28,0.44,0.055,-0.34,-0.6825,-0.3025,0.465,-0.6575,-0.2775,-0.395,-0.83,0.3025,-1.58,-1.03,-1.5675,-0.305,-1.0875,0.5725,0.3
06/10/2025,-1.3325,0.535,0.0525,-0.36,-0.6775,-0.285,0.5,-0.685,-0.2775,-0.38,-0.89,0.35,-1.86,-1.07,-1.6475,-0.31,-1.14,0.64,0.2925
06/09/2025,-1.3975,0.59,0.15,-0.36,-0.665,-0.2925,0.45,-0.7775,-0.335,-0.365,-0.96,0.3825,-2.09,-1.105,-1.71,-0.29,-1.2525,0.63,0.34
,,,,,,,,,,,,,,,,,,,
06/06/2025,-1.4225,0.59,0.145,-0.365,-0.675,-0.285,0.455,-0.775,-0.3425,-0.385,-0.99,0.37,-2.15,-1.145,-1.725,-0.305,-1.275,0.625,0.335
06/05/2025,-1.5525,0.5875,0.185,-0.3525,-0.825,-0.2825,0.455,-0.7775,-0.3975,-0.39,-1.16,0.355,-2.13,-1.235,-1.87,-0.41,-1.35,0.64,0.3275
06/04/2025,-1.5575,0.61,0.2075,-0.3375,-0.93,-0.3025,0.4775,-0.8225,-0.42,-0.425,-1.1,0.3625,-2.34,-1.1975,-1.91,-0.3475,-1.4025,0.67,0.3525
06/03/2025,-1.6825,0.645,0.24,-0.315,-1.0425,-0.3025,0.48,-0.8575,-0.3875,-0.43,-1.26,0.3875,-2.46,-1.35,-2.0225,-0.4675,-1.4375,0.6825,0.3525
06/02/2025,-1.765,0.6925,0.2425,-0.29,-1.1075,-0.3025,0.49,-0.9025,-0.435,-0.425,-1.33,0.405,-2.5,-1.47,-2.1575,-0.565,-1.4775,0.6825,0.35
,,,,,,,,,,,,,,,,,,,
05/30/2025,-1.67,0.58,0.225,-0.4175,-0.9725,-0.28,0.485,-0.8825,-0.4325,-0.41,-1.24,0.41,-2.47,-1.365,-2.0125,-0.3875,-1.4275,0.6475,0.3425
05/29/2025,-1.77,0.64,0.225,-0.43,-1.16,-0.3025,0.505,-0.94,-0.3425,-0.4025,-1.39,0.455,-2.33,-1.46,-2.1525,-0.485,-1.46,0.6725,0.37
05/28/2025,-1.71,0.595,0.2275,-0.555,-0.9825,-0.285,0.505,-0.9475,-0.4025,-0.36,-1.22,0.3675,-2.29,-1.3475,-1.98,-0.365,-1.4125,0.6675,0.3425
05/27/2025,-1.945,0.655,0.2675,-0.59,-1.0975,-0.28,0.4925,-0.975,-0.4225,-0.33,-1.39,0.3975,-2.4,-1.565,-2.1925,-0.5475,-1.485,0.675,0.375
05/26/2025,-2.3325,0.8175,0.36,-0.5825,-1.3525,-0.2975,0.5,-1.0325,-0.55,-0.32,-1.7,0.295,-2.76,-1.8175,-2.535,-0.7875,-1.8125,0.7275,0.435
,,,,,,,,,,,,,,,,,,,
05/23/2025,-2.3325,0.755,0.335,-0.4975,-1.385,-0.36,0.505,-0.965,-0.53,-0.46,-1.71,0.275,-2.77,-1.825,-2.5675,-0.79,-1.76,0.7125,0.4375
05/22/2025,-2.335,0.945,0.3925,-0.4075,-1.28,-0.2625,0.61,-0.835,-0.3375,-0.3525,-1.75,0.55,-2.91,-1.7975,-2.455,-0.845,-1.695,0.6675,0.435
05/21/2025,-2.52,1.08,0.55,-0.4025,-1.42,-0.275,0.61,-0.83,-0.345,-0.3325,-2,0.65,-3.25,-1.915,-2.665,-1.03,-1.8625,0.7975,0.5325
05/20/2025,-2.2825,0.9775,0.58,-0.3925,-1.2375,-0.3075,0.62,-0.78,-0.1375,-0.37,-1.74,0.6,-3.21,-1.6125,-2.4325,-0.81,-1.69,0.7325,0.555
05/19/2025,-2.375,1.1075,0.49,-0.39,-1.3275,-0.365,0.625,-0.795,-0.115,-0.435,-1.84,0.715,-3.2,-1.805,-2.53,-0.9075,-1.72,0.7775,0.5725
,,,,,,,,,,,,,,,,,,,
05/16/2025,-2.305,0.8875,0.4125,-0.4125,-1.345,-0.3875,0.625,-0.7775,-0.1175,-0.435,-1.72,0.535,-2.94,-1.75,-2.4425,-0.8625,-1.5775,0.735,0.54
05/15/2025,-2.365,0.9775,0.42,-0.3975,-1.4575,-0.4225,0.7075,-0.795,-0.1075,-0.4625,-1.85,0.655,-2.83,-1.8025,-2.5675,-0.9425,-1.6325,0.8225,0.5275
05/14/2025,-2.1725,0.9625,0.4275,-0.465,-1.14,-0.4175,0.63,-0.87,-0.0825,-0.4475,-1.68,0.605,-2.74,-1.58,-2.39,-0.7825,-1.5225,0.8375,0.5325
05/13/2025,-1.59,0.7025,0.22,-0.4825,-0.81,-0.38,0.5775,-0.9125,0.0025,-0.4125,-1.26,0.57,-2.24,-1.16,-1.9425,-0.25,-1.3725,0.745,0.455
05/12/2025,-1.5125,0.47,0.165,-0.5,-0.7875,-0.4975,0.585,-0.925,0.0375,-0.5525,-1.22,0.445,-2.45,-1.1625,-1.8575,-0.1375,-1.3275,0.7575,0.4775
,,,,,,,,,,,,,,,,,,,
05/09/2025,-1.8975,0.6925,0.2175,-0.41,-0.8875,-0.5375,0.6775,-1.0525,-0.0825,-0.615,-1.54,0.72,-2.88,-1.445,-2.185,-0.415,-1.6675,0.8175,0.5125
05/08/2025,-1.8425,0.6725,0.1775,-0.49,-0.8825,-0.5375,0.7025,-1.0525,-0.0925,-0.6625,-1.51,0.655,-3.1,-1.415,-2.17,-0.4075,-1.7875,0.8625,0.555
05/07/2025,-1.995,0.845,0.22,-0.55,-0.9125,-0.5175,0.7475,-1.055,-0.0875,-0.59,-1.66,0.8,-3.11,-1.535,-2.325,-0.3625,-1.93,0.8325,0.585
05/06/2025,-2.1625,0.8675,0.225,-0.57,-0.9925,-0.55,0.7575,-1.0825,-0.0825,-0.5925,-1.83,0.81,-3.24,-1.6675,-2.4675,-0.6025,-2.005,0.9025,0.6225
05/05/2025,-2.085,0.9625,0.2,-0.5625,-0.9875,-0.58,0.7975,-1.085,-0.0575,-0.5725,-1.81,0.77,-3.35,-1.67,-2.4925,-0.595,-2.0325,0.97,0.6075
,,,,,,,,,,,,,,,,,,,
05/02/2025,-2.0425,0.7875,0.19,-0.5,-0.99,-0.575,0.805,-1.0425,-0.04,-0.585,-1.72,0.665,-3.04,-1.675,-2.47,-0.6125,-1.91,0.93,0.6075
05/01/2025,-1.805,0.7025,0.205,-0.1675,-0.935,-0.7,0.7625,-0.9925,0.0075,-0.6875,-1.55,0.6375,-3.07,-1.3675,-2.2675,-0.4,-1.91,0.9475,0.6325
04/30/2025,-2.0175,0.86,0.225,-0.2025,-1.05,-0.7375,0.855,-1.0175,0.075,-0.7025,-1.74,0.685,-3.64,-1.5625,-2.5225,-0.5925,-2.09,1.0125,0.655
04/29/2025,-2.1425,0.9175,0.23,-0.17,-1.205,-0.7375,0.8925,-0.985,0.1425,-0.6875,-1.92,0.78,-3.62,-1.64,-2.5775,-0.67,-2.1,1.0275,0.6425
04/28/2025,-2.0425,0.93,0.21,-0.1675,-1.2,-0.74,0.8925,-0.9775,0.1825,-0.735,-1.97,0.76,-3.53,-1.63,-2.5475,-0.6175,-2.1125,1.045,0.6125
,,,,,,,,,,,,,,,,,,,
04/25/2025,-1.895,0.935,0.2025,-0.13,-1.0825,-0.7225,0.9625,-0.99,0.18,-0.7125,-1.77,0.82,-3.67,-1.5,-2.395,-0.335,-2.095,1.0275,0.6525
04/24/2025,-1.9925,1.035,0.21,-0.14,-1.1025,-0.7725,1.0225,-1.065,0.1725,-0.745,-1.93,0.875,-3.87,-1.6175,-2.48,-0.4375,-2.2575,1.0725,0.6975
04/23/2025,-2.1,1.0525,0.215,-0.125,-1.07,-0.7975,0.9725,-1.2225,0.1925,-0.72,-1.97,0.9125,-3.8,-1.7375,-2.5425,-0.52,-2.29,1.0675,0.705
